"Age","Sex","Education","Veg","Fruit","Year","BMI"
48,"Female","Degree or higher","Yes","Yes","2012",21.1172179368667
20,"Female","HNC/D or equiv","Yes","Yes","2012",22.6523192075699
22,"Male","HNC/D or equiv","Yes","Yes","2012",25.4950116083318
40,"Male","Standard grade or equiv","No","Yes","2012",26.3504531428904
36,"Female","Standard grade or equiv","Yes","Yes","2012",30.8462588844928
57,"Female","No qualifications","Yes","Yes","2012",33.8108225369229
32,"Female","Standard grade or equiv","No","Yes","2012",23.3689794129355
48,"Female","Standard grade or equiv","Yes","Yes","2012",34.1111606148363
45,"Male","Degree or higher","No","Yes","2012",30.8196616535809
46,"Female","Standard grade or equiv","Yes","Yes","2012",36.6475880417279
46,"Female","No qualifications","Yes","No","2012",32.6816568047337
71,"Male","Higher grade or equiv","Yes","No","2012",30.3759461268619
72,"Female","Standard grade or equiv","Yes","Yes","2012",25.4510947425639
83,"Female","No qualifications","Yes","Yes","2012",28.9566341022165
27,"Female","Standard grade or equiv","No","No","2012",21.9869443283534
39,"Male","HNC/D or equiv","Yes","No","2012",26.3187851467341
42,"Female","HNC/D or equiv","Yes","No","2012",42.1082583817808
48,"Male","Degree or higher","Yes","Yes","2012",27.834966318024
40,"Female","Degree or higher","Yes","Yes","2012",20.8054249314031
60,"Female","Standard grade or equiv","No","Yes","2012",32.1437362205747
43,"Male","Degree or higher","No","No","2012",30.0084530853762
70,"Female","No qualifications","No","Yes","2012",24.6770213383655
33,"Female","Degree or higher","Yes","Yes","2012",24.0996992303073
54,"Female","No qualifications","Yes","Yes","2012",23.8859760948538
32,"Male","No qualifications","Yes","Yes","2012",23.8145596566828
59,"Male","No qualifications","No","No","2012",23.9212116968891
32,"Male","No qualifications","No","Yes","2012",19.0723534806533
72,"Male","Other school level","No","Yes","2012",23.8697204045211
54,"Female","Standard grade or equiv","Yes","No","2012",23.2914889686689
53,"Male","Degree or higher","No","No","2012",31.9946925585861
80,"Male","Standard grade or equiv","Yes","Yes","2012",24.4478535076826
71,"Female","No qualifications","Yes","No","2012",25.9418796011711
30,"Male","Standard grade or equiv","No","No","2012",31.6140574807504
65,"Female","Standard grade or equiv","Yes","Yes","2012",21.8228991632538
68,"Male","Standard grade or equiv","Yes","Yes","2012",23.5935314998745
47,"Female","No qualifications","Yes","Yes","2012",21.6828102715668
48,"Male","Standard grade or equiv","Yes","Yes","2012",22.7413104865559
48,"Female","Standard grade or equiv","Yes","Yes","2012",34.0539095540177
57,"Male","No qualifications","Yes","No","2012",32.6594754453766
45,"Male","Standard grade or equiv","Yes","Yes","2012",31.46267227523
44,"Female","Standard grade or equiv","Yes","Yes","2012",21.4295206212246
44,"Female","HNC/D or equiv","Yes","Yes","2012",28.6022110752736
54,"Male","Standard grade or equiv","No","No","2012",31.2356797501146
50,"Female","Degree or higher","Yes","No","2012",31.0243570129691
49,"Female","Higher grade or equiv","Yes","No","2012",28.0173273107353
26,"Female","Degree or higher","No","Yes","2012",24.1516725033209
35,"Male","Degree or higher","Yes","Yes","2012",31.2163265306122
40,"Male","Degree or higher","No","No","2012",26.4052557124393
35,"Female","Degree or higher","Yes","Yes","2012",23.7307103226092
34,"Male","Degree or higher","No","Yes","2012",28.8680114236763
79,"Female","No qualifications","Yes","Yes","2012",23.3450084979821
23,"Male","Degree or higher","No","Yes","2012",22.9753096718277
49,"Female","Degree or higher","No","No","2012",28.9283366206443
51,"Male","Degree or higher","Yes","Yes","2012",28.2234852930492
49,"Male","Higher grade or equiv","Yes","Yes","2012",25.4081005395806
35,"Male","Higher grade or equiv","Yes","No","2012",25.8992043616601
33,"Female","Degree or higher","Yes","Yes","2012",24.2679100225505
43,"Male","Standard grade or equiv","Yes","Yes","2012",22.5628003737985
32,"Female","Standard grade or equiv","Yes","Yes","2012",21.3685913651897
53,"Male","Other school level","Yes","No","2012",27.6228636796194
53,"Female","Degree or higher","Yes","Yes","2012",28.2177628370432
39,"Female","Standard grade or equiv","Yes","Yes","2012",38.0100376907534
34,"Male","Degree or higher","Yes","Yes","2012",24.4750876750816
26,"Female","Degree or higher","Yes","Yes","2012",20.7328936451054
53,"Female","Degree or higher","Yes","Yes","2012",23.7427249725004
45,"Male","Standard grade or equiv","Yes","No","2012",30.0279297756952
74,"Female","No qualifications","Yes","Yes","2012",35.6695730328641
18,"Female","No qualifications","Yes","Yes","2012",19.2201201055897
43,"Male","Degree or higher","Yes","Yes","2012",33.7822620602676
56,"Female","Higher grade or equiv","Yes","No","2012",30.2171830288879
41,"Female","Higher grade or equiv","Yes","Yes","2012",23.1529842190279
63,"Male","Degree or higher","Yes","Yes","2012",25.2883257406458
60,"Female","Degree or higher","Yes","Yes","2012",24.379594564491
24,"Female","HNC/D or equiv","Yes","Yes","2012",23.5379554872058
49,"Female","HNC/D or equiv","Yes","Yes","2012",21.8353503181165
48,"Male","HNC/D or equiv","Yes","Yes","2012",26.2739448728787
21,"Male","HNC/D or equiv","Yes","Yes","2012",24.0012517628594
52,"Male","Degree or higher","No","Yes","2012",30.5351247273173
48,"Female","Degree or higher","No","Yes","2012",27.6005675264624
34,"Female","Degree or higher","Yes","Yes","2012",24.2766461848684
41,"Male","Standard grade or equiv","Yes","Yes","2012",26.8837011703967
49,"Female","HNC/D or equiv","Yes","Yes","2012",34.1873942864651
24,"Male","Higher grade or equiv","Yes","No","2012",21.3863255342894
38,"Female","Higher grade or equiv","Yes","Yes","2012",25.9988657804753
49,"Female","Standard grade or equiv","Yes","Yes","2012",38.3549688923601
56,"Female","No qualifications","Yes","Yes","2012",40.6022341639619
60,"Male","No qualifications","Yes","No","2012",31.358024691358
56,"Female","Higher grade or equiv","Yes","No","2012",24.3040746234379
